emp_no,first_name,last_name,title,from_date,to_date
38386,Mabhin,Keustermans,Staff,9/19/1994,9/18/2000
38388,Arnd,Nishimukai,Senior Staff,8/9/2000,1/1/9999
38388,Arnd,Nishimukai,Staff,8/9/1992,8/9/2000
38392,Basem,Swan,Engineer,3/12/1998,2/10/2001
38394,Xiping,Shackell,Staff,11/22/1999,1/1/9999
38399,Marsha,Ramalingam,Engineer,8/30/1997,11/3/2001
38400,Jaber,Ponthieu,Engineer,6/22/1998,1/1/9999
38406,Gilbert,Poupard,Senior Staff,12/19/1999,9/12/2001
38406,Gilbert,Poupard,Staff,12/18/1992,12/19/1999
38416,Xinglin,Boyle,Assistant Engineer,5/8/1991,5/7/1996
38416,Xinglin,Boyle,Engineer,5/7/1996,5/7/2001
38416,Xinglin,Boyle,Senior Engineer,5/7/2001,1/1/9999
38425,Youssef,Senzako,Staff,9/28/1998,3/5/1999
38427,Muzhong,Potthoff,Engineer,3/29/1997,12/13/2001
38428,Jahangir,Middleton,Senior Staff,3/31/2000,1/1/9999
38428,Jahangir,Middleton,Staff,4/1/1995,3/31/2000
38431,Masanao,Ferretti,Senior Staff,6/17/2000,1/1/9999
38431,Masanao,Ferretti,Staff,6/18/1994,6/17/2000
38432,Sreekrishna,Harllee,Engineer,10/27/1985,10/27/1993
38432,Sreekrishna,Harllee,Senior Engineer,10/27/1993,1/1/9999
38435,Tran,Conti,Technique Leader,12/10/1993,1/1/9999
38438,Nikolaus,Pehl,Senior Staff,6/24/1999,1/1/9999
38438,Nikolaus,Pehl,Staff,6/23/1992,6/24/1999
38440,Jiong,Ernst,Assistant Engineer,9/3/1989,9/3/1997
38440,Jiong,Ernst,Engineer,9/3/1997,1/1/9999
38442,Marco,Baalen,Engineer,12/28/1997,1/1/9999
38445,Dharmaraja,Kowalchuk,Senior Staff,5/31/1994,1/1/9999
38446,Sergi,Brattka,Senior Staff,10/4/1998,1/1/9999
38446,Sergi,Brattka,Staff,10/4/1993,10/4/1998
38447,Gladys,Ruemmler,Engineer,6/26/1999,1/1/9999
38451,Abdelkader,Decleir,Engineer,1/28/1992,1/28/2000
38451,Abdelkader,Decleir,Senior Engineer,1/28/2000,1/1/9999
38453,Rafael,Perfilyeva,Senior Staff,8/28/1992,1/1/9999
38453,Rafael,Perfilyeva,Staff,8/28/1985,8/28/1992
38457,Seshu,Kranzdorf,Engineer,9/7/1997,1/1/9999
38461,Khoa,Kusakabe,Senior Staff,12/6/1991,11/1/1996
38463,Leucio,Janocha,Senior Staff,12/17/1994,1/1/9999
38464,Chenxi,Imataki,Engineer,12/24/1992,12/24/1997
38464,Chenxi,Imataki,Senior Engineer,12/24/1997,1/1/9999
38471,Christoper,Zaiane,Senior Staff,11/24/1992,1/1/9999
38472,Masadi,Winter,Senior Staff,6/4/1993,1/1/9999
38472,Masadi,Winter,Staff,6/4/1985,6/4/1993
38473,Lena,Onuegbe,Engineer,1/25/1995,1/25/2000
38473,Lena,Onuegbe,Senior Engineer,1/25/2000,1/1/9999
38474,Hsiangchu,Wrigley,Senior Staff,6/9/1993,1/1/9999
38474,Hsiangchu,Wrigley,Staff,6/9/1986,6/9/1993
38476,Godehard,Neimat,Engineer,8/13/1999,1/1/9999
38479,Stamatina,Dehkordi,Engineer,6/18/1996,1/1/9999
38480,Yuriy,Zaccaria,Engineer,12/28/1987,12/27/1996
38480,Yuriy,Zaccaria,Senior Engineer,12/27/1996,1/1/9999
38482,Ziva,Munch,Technique Leader,10/24/1998,1/1/9999
38485,Kiyomitsu,Kavanagh,Engineer,7/6/1987,7/5/1992
38485,Kiyomitsu,Kavanagh,Senior Engineer,7/5/1992,1/1/9999
38488,Guther,Merro,Staff,9/1/1996,1/1/9999
38491,Jiong,Bojadziev,Staff,5/2/1994,1/20/2000
38497,Anyuan,Hiltgen,Senior Staff,12/6/1985,1/1/9999
38498,Margareta,Uehara,Assistant Engineer,7/11/1994,1/1/9999
38500,Serge,Chimia,Staff,12/21/1989,9/26/1992
38508,Mokhtar,Vasanthakumar,Senior Staff,6/5/2000,1/1/9999
38508,Mokhtar,Vasanthakumar,Staff,6/6/1994,6/5/2000
38517,Ult,Farrow,Technique Leader,2/5/1994,1/1/9999
38518,Sachem,Savasere,Engineer,1/28/1994,1/28/2001
38518,Sachem,Savasere,Senior Engineer,1/28/2001,1/1/9999
38519,Zdislav,Bakhtari,Senior Engineer,9/8/1998,1/1/9999
38520,Leandro,Akiyama,Engineer,3/12/1992,3/13/1999
38520,Leandro,Akiyama,Senior Engineer,3/13/1999,1/1/9999
38523,Karoline,Angiulli,Senior Staff,12/18/1990,1/1/9999
38524,Mrinalini,Vrecion,Technique Leader,7/20/1997,1/1/9999
38526,Xinyu,Roohalamini,Staff,12/26/1997,1/1/9999
38535,Patricio,Eastman,Senior Engineer,3/16/1993,1/1/9999
38548,Susuma,Tetzlaff,Engineer,11/25/1994,11/24/2000
38548,Susuma,Tetzlaff,Senior Engineer,11/24/2000,1/1/9999
38551,Sangeeta,Angelopoulos,Engineer,9/10/1998,1/1/9999
38552,Yolla,Quittner,Senior Staff,4/16/1994,1/1/9999
38552,Yolla,Quittner,Staff,4/16/1985,4/16/1994
38553,Dinkar,Bage,Senior Staff,7/26/1994,1/1/9999
38553,Dinkar,Bage,Staff,7/26/1985,7/26/1994
38555,Vasilis,Terlouw,Technique Leader,9/10/1998,7/24/2002
38561,Shawna,Madeira,Senior Staff,9/8/2000,1/1/9999
38561,Shawna,Madeira,Staff,9/9/1991,9/8/2000
38566,Navin,Begiun,Technique Leader,3/5/1985,1/1/9999
38570,Lobel,Ducloy,Senior Staff,5/20/1996,1/1/9999
38570,Lobel,Ducloy,Staff,5/21/1987,5/20/1996
38581,Shan,Gornas,Senior Engineer,6/1/1988,1/1/9999
38583,Xuedong,Orlowska,Staff,9/26/1990,7/6/1992
38595,Adel,Hempstead,Staff,7/29/1997,1/1/9999
38597,Phuoc,Baba,Technique Leader,9/12/1996,9/24/1998
38602,Rafael,Showalter,Staff,6/12/1990,7/15/1994
38603,Weijing,Farrag,Assistant Engineer,4/11/1991,4/10/1997
38603,Weijing,Farrag,Engineer,4/10/1997,1/1/9999
38608,Florian,Journel,Assistant Engineer,2/26/1988,2/25/1993
38608,Florian,Journel,Engineer,2/25/1993,2/25/1998
38608,Florian,Journel,Senior Engineer,2/25/1998,1/1/9999
38609,Florian,Lorcy,Staff,10/2/1989,9/29/1990
38611,Baoqiu,Wossner,Senior Engineer,3/16/1991,1/1/9999
38612,Mayuko,Gyorkos,Staff,3/8/1997,1/1/9999
38613,Rildo,Bojadziev,Senior Engineer,1/23/1997,1/1/9999
38617,Renee,Herber,Staff,9/19/1997,1/1/9999
38618,Houman,Ibel,Senior Staff,10/13/2001,1/1/9999
38618,Houman,Ibel,Staff,10/14/1995,10/13/2001
38619,Avishai,Pena,Staff,11/14/1999,1/1/9999
38620,Taizo,Berztiss,Senior Staff,8/17/1994,1/1/9999
38621,Bikash,Rusmann,Senior Staff,8/26/1995,1/1/9999
38621,Bikash,Rusmann,Staff,8/26/1990,8/26/1995
38625,Aleksander,Deyuan,Staff,11/5/1995,1/1/9999
38635,Pramod,Jeansoulin,Senior Staff,4/17/2001,1/1/9999
38635,Pramod,Jeansoulin,Staff,4/17/1994,4/17/2001
38638,Basant,Kuhnemann,Senior Engineer,8/31/1998,1/1/9999
38639,Arvin,Zobel,Engineer,11/17/1990,11/17/1999
38639,Arvin,Zobel,Senior Engineer,11/17/1999,1/1/9999
38641,Zeljko,Rosaz,Staff,1/28/1998,1/1/9999
38643,Richara,Baer,Engineer,1/18/1998,1/1/9999
38653,Collette,Pluym,Engineer,8/17/1991,2/27/1994
38658,Rasikan,Lienhardt,Senior Staff,11/6/1998,1/1/9999
38666,Bedrich,Penn,Senior Staff,1/29/1989,1/1/9999
38669,Abdelwaheb,Jakobus,Senior Staff,4/16/1992,1/1/9999
38674,Danai,Reistad,Technique Leader,9/13/1998,1/1/9999
38676,Kendra,Pashtan,Senior Staff,3/16/1994,1/1/9999
38676,Kendra,Pashtan,Staff,3/16/1989,3/16/1994
38677,Teiji,Trumbly,Staff,5/2/1987,6/28/1987
38679,Zvonko,Bael,Technique Leader,9/8/1988,1/1/9999
38684,Remmert,Krzyzanowski,Senior Staff,12/27/1989,1/1/9999
38689,King,Hoogerwoord,Assistant Engineer,4/25/1999,1/1/9999
38692,Huan,Hebden,Technique Leader,12/29/1998,1/1/9999
38694,Gudjon,Strandh,Engineer,6/16/1991,6/17/1997
38696,Keiichiro,Leppanen,Senior Staff,8/31/1992,1/1/9999
38697,Hercules,Warwick,Senior Engineer,5/30/1986,1/1/9999
38700,Deniz,Figueira,Technique Leader,2/15/1987,1/1/9999
38701,Kristian,Irland,Engineer,7/10/1986,7/10/1995
38701,Kristian,Irland,Senior Engineer,7/10/1995,1/1/9999
38706,Zeydy,Gils,Engineer,5/26/1990,5/26/1997
38706,Zeydy,Gils,Senior Engineer,5/26/1997,1/1/9999
38707,Constantine,Hitomi,Senior Staff,11/12/1995,1/1/9999
38707,Constantine,Hitomi,Staff,11/11/1988,11/12/1995
38710,Shimshon,Papastamatiou,Staff,3/12/1995,1/1/9999
38711,Shichao,Gini,Engineer,8/11/1989,8/11/1994
38711,Shichao,Gini,Senior Engineer,8/11/1994,3/12/2002
38715,Jianhua,Dayana,Engineer,3/18/1999,10/31/2001
38716,Toshimo,Perin,Engineer,11/19/1996,1/1/9999
38717,Boaz,Honiden,Staff,2/24/1990,12/25/1996
38719,Moty,Beeson,Assistant Engineer,11/13/1990,11/13/1995
38719,Moty,Beeson,Engineer,11/13/1995,11/12/2000
38719,Moty,Beeson,Senior Engineer,11/12/2000,1/1/9999
38720,Kwan,Khalil,Engineer,6/29/1988,6/29/1996
38720,Kwan,Khalil,Senior Engineer,6/29/1996,1/1/9999
38722,Noritoshi,Crooks,Senior Staff,1/7/2002,1/1/9999
38722,Noritoshi,Crooks,Staff,1/7/1997,1/7/2002
38728,Marl,Genther,Senior Staff,11/2/1996,1/1/9999
38728,Marl,Genther,Staff,11/3/1991,11/2/1996
38733,Gil,Isard,Engineer,7/20/1992,6/16/1993
38738,Mohd,Kuszyk,Staff,11/6/1999,1/1/9999
38740,Michaela,Matzat,Staff,1/26/1997,1/1/9999
38742,Sreenivas,Perna,Senior Engineer,12/16/1994,1/1/9999
38743,Baruch,Brender,Engineer,8/24/1998,1/1/9999
38747,Kenton,Guerreiro,Staff,8/12/1995,1/1/9999
38760,Tristan,Schwartzbauer,Senior Staff,8/21/1994,1/1/9999
38760,Tristan,Schwartzbauer,Staff,8/21/1987,8/21/1994
38761,Feiyu,England,Engineer,11/5/1987,11/4/1993
38761,Feiyu,England,Senior Engineer,11/4/1993,9/21/1999
38764,Yakichi,Puppo,Senior Staff,6/5/1990,1/15/1998
38766,Sreenivas,Wegerle,Senior Staff,7/13/1994,1/1/9999
38768,King,Haddadi,Senior Engineer,6/22/1996,1/1/9999
38771,Muneo,Fontet,Senior Staff,12/7/2001,1/1/9999
38771,Muneo,Fontet,Staff,12/7/1993,12/7/2001
38774,Urs,Chelton,Senior Staff,9/22/1995,1/1/9999
38774,Urs,Chelton,Staff,9/21/1988,9/22/1995
38776,Foong,Erol,Senior Staff,4/6/1995,1/1/9999
38776,Foong,Erol,Staff,4/6/1990,4/6/1995
38781,Eben,Khalil,Assistant Engineer,6/17/1990,6/16/1996
38781,Eben,Khalil,Engineer,6/16/1996,6/5/2001
38784,Guiseppe,Smailagic,Senior Staff,6/21/2002,1/1/9999
38784,Guiseppe,Smailagic,Staff,6/21/1993,6/21/2002
38790,Boaz,Poujol,Senior Staff,1/6/1995,1/1/9999
38790,Boaz,Poujol,Staff,1/6/1989,1/6/1995
38791,Bingning,Meszaros,Engineer,3/20/1988,3/21/1995
38791,Bingning,Meszaros,Senior Engineer,3/21/1995,1/1/9999
38794,Sham,Randi,Senior Staff,8/1/2000,1/1/9999
38794,Sham,Randi,Staff,8/2/1995,8/1/2000
38801,Jackson,Weedon,Technique Leader,1/30/1989,1/1/9999
38807,Kiyomitsu,Shihab,Senior Staff,9/25/1991,1/1/9999
38808,Akemi,Danley,Technique Leader,1/3/1995,1/1/9999
38809,Rildo,Gelosh,Senior Engineer,5/13/1997,1/1/9999
38810,Pohua,Roccetti,Senior Staff,1/2/1993,1/1/9999
38810,Pohua,Roccetti,Staff,1/2/1986,1/2/1993
38811,Noritoshi,Swen,Engineer,12/30/1991,12/29/2000
38811,Noritoshi,Swen,Senior Engineer,12/29/2000,1/1/9999
38815,Ebbe,Staylopatis,Senior Staff,9/17/2000,1/1/9999
38815,Ebbe,Staylopatis,Staff,9/18/1995,9/17/2000
38816,Iara,Acton,Engineer,9/21/1994,9/21/2001
38816,Iara,Acton,Senior Engineer,9/21/2001,1/1/9999
38822,Susumu,Chiodo,Senior Staff,9/9/1997,1/1/9999
38822,Susumu,Chiodo,Staff,9/9/1989,9/9/1997
38824,Shounak,Rindone,Senior Engineer,4/2/1985,1/1/9999
38827,Syozo,Erol,Engineer,1/7/1992,1/7/1999
38827,Syozo,Erol,Senior Engineer,1/7/1999,1/1/9999
38830,Adit,Leijenhorst,Staff,12/17/1997,10/7/1998
38838,Candida,Xiaoshan,Engineer,12/18/1988,10/3/1993
38840,Leaf,Lunn,Engineer,10/27/1985,10/27/1990
38840,Leaf,Lunn,Senior Engineer,10/27/1990,1/1/9999
38842,Alper,Mukaidono,Senior Engineer,7/19/1985,1/1/9999
38844,Marsal,Merle,Senior Staff,1/31/1997,1/1/9999
38844,Marsal,Merle,Staff,2/1/1988,1/31/1997
38845,Ottavia,Gopalakrishnan,Senior Engineer,12/18/1999,1/1/9999
38846,Hisao,Szmurlo,Senior Staff,1/17/1998,1/1/9999
38846,Hisao,Szmurlo,Staff,1/17/1989,1/17/1998
38847,Ugo,Waterhouse,Engineer,1/31/1987,1/31/1994
38847,Ugo,Waterhouse,Senior Engineer,1/31/1994,1/1/9999
38851,Deborah,Stassinopoulos,Engineer,4/14/1985,4/14/1992
38851,Deborah,Stassinopoulos,Senior Engineer,4/14/1992,1/1/9999
38852,Niranjan,Lorys,Senior Staff,9/2/1996,1/1/9999
38852,Niranjan,Lorys,Staff,9/3/1991,9/2/1996
38855,Florian,Koyama,Senior Staff,6/1/1992,1/1/9999
38858,Brewster,Preusig,Senior Staff,9/19/1999,1/1/9999
38858,Brewster,Preusig,Staff,9/18/1992,9/19/1999
38859,Hiroyasu,Assaf,Senior Staff,8/10/2000,1/1/9999
38859,Hiroyasu,Assaf,Staff,8/10/1993,8/10/2000
38867,Charmane,Randt,Assistant Engineer,7/19/1993,11/19/1996
38869,Zongyan,Brizzi,Engineer,12/14/1995,12/13/2000
38869,Zongyan,Brizzi,Senior Engineer,12/13/2000,1/1/9999
38870,Jiafu,Rijsenbrij,Engineer,5/20/1991,5/19/1997
38870,Jiafu,Rijsenbrij,Senior Engineer,5/19/1997,1/1/9999
38873,Krisda,Byoun,Engineer,9/26/1995,9/25/2000
38873,Krisda,Byoun,Senior Engineer,9/25/2000,1/1/9999
38876,Chikako,Qiwen,Senior Staff,6/12/1985,9/6/1998
38878,Hauke,Champarnaud,Senior Staff,10/9/1986,1/1/9999
38879,Tsz,Morton,Assistant Engineer,6/13/1986,6/13/1991
38879,Tsz,Morton,Engineer,6/13/1991,6/12/1996
38879,Tsz,Morton,Senior Engineer,6/12/1996,1/1/9999
38880,Hatsukazu,Kakkar,Engineer,6/14/1992,6/14/1997
38880,Hatsukazu,Kakkar,Senior Engineer,6/14/1997,8/2/2001
38883,Bartek,Tanemo,Staff,4/11/1998,1/1/9999
38884,Arne,Dratva,Senior Staff,5/15/1999,1/1/9999
38884,Arne,Dratva,Staff,5/15/1991,5/15/1999
38890,Mohit,Mellouli,Staff,12/12/1998,1/1/9999
38905,Arnould,Pearson,Senior Engineer,12/18/1989,1/1/9999
38911,Snehasis,Anger,Engineer,10/18/1999,1/1/9999
38915,Divine,Hanratty,Senior Staff,4/5/1993,1/1/9999
38915,Divine,Hanratty,Staff,4/5/1986,4/5/1993
38916,Hein,Kroll,Senior Engineer,11/14/1993,1/1/9999
38917,Anyuan,Gulak,Engineer,12/29/1995,1/1/9999
38921,Weiru,Papsdorf,Senior Staff,7/5/1990,3/30/1993
38921,Weiru,Papsdorf,Staff,7/5/1985,7/5/1990
38922,Xiaobin,Sewelson,Senior Staff,3/14/2002,1/1/9999
38922,Xiaobin,Sewelson,Staff,3/14/1993,3/14/2002
38929,Salvador,Lanteri,Engineer,2/20/1998,1/1/9999
38930,Vishu,Zhiwei,Senior Engineer,7/25/1998,6/10/2001
38936,Mokhtar,Uehara,Engineer,2/21/1993,2/21/1998
38936,Mokhtar,Uehara,Senior Engineer,2/21/1998,1/1/9999
38941,Yurij,Turnbull,Engineer,9/1/1994,9/1/1999
38941,Yurij,Turnbull,Senior Engineer,9/1/1999,1/1/9999
38942,Danco,Xiaoshan,Senior Staff,5/30/1995,1/1/9999
38942,Danco,Xiaoshan,Staff,5/30/1987,5/30/1995
38951,Terresa,Rijckaert,Senior Staff,10/29/1988,1/1/9999
38952,Shahaf,Sooriamurthi,Staff,3/13/1990,6/8/1991
38955,Chaoyi,Trachtenberg,Senior Staff,11/18/1997,1/1/9999
38955,Chaoyi,Trachtenberg,Staff,11/18/1989,11/18/1997
38960,Edwin,Morrow,Engineer,1/2/1990,1/2/1996
38960,Edwin,Morrow,Senior Engineer,1/2/1996,1/1/9999
38961,Krister,Erva,Assistant Engineer,9/18/1993,9/18/2000
38961,Krister,Erva,Engineer,9/18/2000,1/1/9999
38974,Yongdong,Kandlur,Staff,12/3/1997,11/11/1999
38976,Kensyu,Erman,Senior Engineer,3/25/1991,1/1/9999
38978,Sedat,Linares,Senior Engineer,7/31/1991,1/1/9999
38980,Temple,Hashii,Engineer,9/21/1996,1/1/9999
38981,Masasuke,Jonsson,Senior Staff,11/17/2000,1/1/9999
38981,Masasuke,Jonsson,Staff,11/18/1995,11/17/2000
38988,Mohammed,Dulin,Assistant Engineer,5/24/1992,5/25/1999
38988,Mohammed,Dulin,Engineer,5/25/1999,1/1/9999
38990,Kazuhira,McFarlin,Engineer,12/8/1999,1/1/9999
38993,Gal,Aseltine,Staff,1/10/2000,1/1/9999
38995,Lijia,Gecsei,Senior Engineer,5/14/1990,2/20/1992
39001,Chriss,Pero,Engineer,4/10/1993,4/10/1998
39001,Chriss,Pero,Senior Engineer,4/10/1998,1/1/9999
39011,Reuven,Luce,Senior Staff,2/25/1995,10/28/1996
39011,Reuven,Luce,Staff,2/25/1990,2/25/1995
39017,Shahid,Carrera,Technique Leader,9/19/1991,1/1/9999
39018,Irena,Harllee,Engineer,3/18/1988,3/18/1996
39018,Irena,Harllee,Senior Engineer,3/18/1996,1/1/9999
39025,Florina,DuBourdieux,Senior Engineer,5/25/1995,1/1/9999
39026,Yongmin,Etalle,Engineer,8/9/1987,8/8/1996
39026,Yongmin,Etalle,Senior Engineer,8/8/1996,1/19/2000
39027,Zhilian,Greenaway,Engineer,11/30/1995,11/29/2001
39027,Zhilian,Greenaway,Senior Engineer,11/29/2001,1/1/9999
39028,Reinhold,Himler,Assistant Engineer,10/29/1995,10/28/2001
39028,Reinhold,Himler,Engineer,10/28/2001,1/1/9999
39031,Yagil,Schiettecatte,Senior Staff,3/30/2001,1/1/9999
39031,Yagil,Schiettecatte,Staff,3/31/1995,3/30/2001
39035,Susumu,Kohling,Engineer,9/24/1985,9/24/1994
39035,Susumu,Kohling,Senior Engineer,9/24/1994,1/1/9999
39041,Shem,Fabrizio,Engineer,6/17/1992,6/17/2001
39041,Shem,Fabrizio,Senior Engineer,6/17/2001,1/1/9999
39043,Kersti,Ferretti,Assistant Engineer,1/8/1986,1/8/1995
39043,Kersti,Ferretti,Engineer,1/8/1995,1/1/9999
39047,Angel,Dichev,Staff,7/24/1988,1/5/1992
39048,Valery,Lanphier,Staff,1/20/2000,1/1/9999
39051,Tran,Madeira,Staff,7/3/1991,1/28/1996
39052,Debatosh,Kropatsch,Engineer,8/25/1993,8/25/1999
39052,Debatosh,Kropatsch,Senior Engineer,8/25/1999,1/1/9999
39055,Remko,Varman,Engineer,8/16/1988,8/16/1994
39055,Remko,Varman,Senior Engineer,8/16/1994,1/1/9999
39056,Kristine,Schwartzburd,Engineer,10/19/1995,10/18/2000
39056,Kristine,Schwartzburd,Senior Engineer,10/18/2000,1/1/9999
39072,Itzchak,Kavvadias,Senior Staff,7/17/2001,1/1/9999
39072,Itzchak,Kavvadias,Staff,7/17/1993,7/17/2001
39077,Luisa,Erdmenger,Senior Staff,5/29/2002,1/1/9999
39077,Luisa,Erdmenger,Staff,5/29/1994,5/29/2002
39082,Ortrun,Encarnacion,Senior Engineer,2/12/1985,1/1/9999
39083,Ottavia,Jording,Staff,6/20/1999,1/1/9999
39085,Kagan,Rohrbach,Engineer,4/24/1989,8/31/1994
39087,Marin,Luders,Engineer,4/3/1989,4/2/1997
39087,Marin,Luders,Senior Engineer,4/2/1997,1/1/9999
39088,Wanqing,Paciorek,Staff,1/2/1997,1/1/9999
39089,Tzu,Rajcani,Senior Staff,12/13/1995,1/1/9999
39089,Tzu,Rajcani,Staff,12/13/1989,12/13/1995
39092,Vojin,Butterworth,Engineer,7/25/1996,11/14/1996
39093,Vidya,Weedon,Technique Leader,7/9/1993,1/1/9999
39094,Mohan,Gronowski,Senior Staff,11/7/2000,1/1/9999
39094,Mohan,Gronowski,Staff,11/8/1991,11/7/2000
39100,Mokhtar,Riefers,Staff,10/30/1988,8/5/1990
39104,Anneke,Antonakopoulos,Engineer,8/25/1999,1/1/9999
39105,Moni,Pashtan,Senior Staff,2/4/1994,1/1/9999
39105,Moni,Pashtan,Staff,2/4/1989,2/4/1994
39106,Mototsugu,Frijda,Staff,11/28/1998,1/1/9999
39107,Cordelia,Markovitch,Engineer,8/10/1996,1/1/9999
39111,Abdulah,Hiltgen,Engineer,5/28/1993,5/28/1998
39111,Abdulah,Hiltgen,Senior Engineer,5/28/1998,1/1/9999
39113,Janche,Aumann,Assistant Engineer,10/22/1986,10/22/1991
39113,Janche,Aumann,Engineer,10/22/1991,10/21/1996
39113,Janche,Aumann,Senior Engineer,10/21/1996,1/1/9999
39119,Tristan,Klyachko,Engineer,7/31/1988,7/31/1994
39119,Tristan,Klyachko,Senior Engineer,7/31/1994,1/1/9999
39120,Kensyu,Yurek,Engineer,2/11/1992,2/10/2001
39120,Kensyu,Yurek,Senior Engineer,2/10/2001,1/1/9999
39128,Shaw,Nitto,Staff,8/20/1995,8/25/1999
39131,Zhaofang,Babu,Engineer,10/10/1990,10/10/1998
39131,Zhaofang,Babu,Senior Engineer,10/10/1998,1/1/9999
39132,Uta,Massonet,Senior Staff,10/21/1997,1/1/9999
39132,Uta,Massonet,Staff,10/21/1990,10/21/1997
39134,Reinhard,Vidal,Engineer,7/27/1997,1/1/9999
39138,Ashish,Jeansoulin,Senior Engineer,4/5/1992,1/1/9999
39139,Heejo,Harnett,Engineer,10/16/1999,1/1/9999
39140,Shai,Terkki,Senior Staff,3/1/1999,1/1/9999
39143,Flemming,Salverda,Senior Staff,9/18/1994,1/1/9999
39143,Flemming,Salverda,Staff,9/18/1987,9/18/1994
39145,Dulce,Heystek,Senior Staff,1/6/2000,1/1/9999
39151,Stamatina,Erbe,Senior Staff,7/7/1995,1/1/9999
39151,Stamatina,Erbe,Staff,7/7/1986,7/7/1995
39155,Yoshimitsu,Masamoto,Engineer,9/2/1988,9/2/1997
39155,Yoshimitsu,Masamoto,Senior Engineer,9/2/1997,1/1/9999
39156,Gift,Pileggi,Senior Staff,3/9/1985,1/1/9999
39163,Gretta,Esteva,Engineer,11/21/1992,11/21/1998
39163,Gretta,Esteva,Senior Engineer,11/21/1998,1/1/9999
39166,Dante,Jenevein,Engineer,8/1/1986,7/31/1992
39166,Dante,Jenevein,Senior Engineer,7/31/1992,1/1/9999
39173,Rosalyn,Schmezko,Staff,1/27/1999,1/1/9999
39181,Gao,Einsfeld,Staff,4/17/1996,1/1/9999
39186,Golgen,Atrawala,Senior Staff,11/18/1987,1/1/9999
39188,Apostol,Bresenham,Engineer,10/4/1987,10/4/1995
39188,Apostol,Bresenham,Senior Engineer,10/4/1995,1/1/9999
39191,Flemming,Servieres,Senior Staff,6/18/1996,1/1/9999
39191,Flemming,Servieres,Staff,6/19/1987,6/18/1996
39194,Arun,Imataki,Technique Leader,7/15/1986,1/1/9999
39207,Gritta,Stiles,Engineer,4/1/1985,4/1/1990
39207,Gritta,Stiles,Senior Engineer,4/1/1990,1/1/9999
39210,Bernt,Spinelli,Engineer,7/30/1992,3/24/1997
39220,Dinah,Showalter,Engineer,5/4/1986,5/4/1993
39220,Dinah,Showalter,Senior Engineer,5/4/1993,1/1/9999
39222,Lokesh,Keirsey,Senior Staff,3/28/1999,1/1/9999
39222,Lokesh,Keirsey,Staff,3/28/1991,3/28/1999
39224,Moss,Chenney,Engineer,2/22/1996,1/1/9999
39226,Samphel,Parfitt,Engineer,11/17/1988,11/17/1997
39226,Samphel,Parfitt,Senior Engineer,11/17/1997,1/1/9999
39232,Genevieve,Baumann,Staff,7/20/1999,1/1/9999
39234,Feixiong,Ranka,Engineer,4/10/1997,1/1/9999
39235,Filipp,Munch,Staff,10/26/1993,8/9/1998
39236,Faiza,Nivat,Staff,10/26/1991,4/4/1993
39237,Sugwoo,Fabrizio,Engineer,12/12/1990,12/12/1995
39237,Sugwoo,Fabrizio,Senior Engineer,12/12/1995,1/1/9999
39238,Prodip,Goodrum,Staff,5/18/1998,1/1/9999
39239,Karsten,Benner,Senior Engineer,10/27/1987,1/1/9999
39243,Arco,Heiserman,Staff,6/17/1999,1/1/9999
39244,Sasan,Marrevee,Engineer,1/13/2000,1/1/9999
39248,Ung,Ibel,Engineer,8/14/1992,8/15/1999
39248,Ung,Ibel,Senior Engineer,8/15/1999,1/1/9999
39252,Vojin,Anily,Assistant Engineer,11/10/1990,11/10/1995
39252,Vojin,Anily,Engineer,11/10/1995,11/9/2000
39252,Vojin,Anily,Senior Engineer,11/9/2000,1/1/9999
39258,Ingemar,Gimbel,Senior Staff,11/27/1998,1/1/9999
39258,Ingemar,Gimbel,Staff,11/27/1989,11/27/1998
39259,Junsik,Peroz,Engineer,1/3/1995,1/3/2002
39259,Junsik,Peroz,Senior Engineer,1/3/2002,1/1/9999
39262,Karoline,Vecchi,Engineer,8/3/1986,8/3/1994
39262,Karoline,Vecchi,Senior Engineer,8/3/1994,1/1/9999
39264,Jaideep,Michaels,Engineer,11/1/1990,11/1/1998
39264,Jaideep,Michaels,Senior Engineer,11/1/1998,1/1/9999
39267,Valeri,Naudin,Engineer,4/22/1987,4/21/1992
39267,Valeri,Naudin,Senior Engineer,4/21/1992,1/1/9999
39276,Alejandro,Busillo,Senior Staff,4/7/1991,1/1/9999
39276,Alejandro,Busillo,Staff,4/7/1985,4/7/1991
39278,Lenore,Guting,Senior Staff,3/2/1999,1/1/9999
39278,Lenore,Guting,Staff,3/1/1992,3/2/1999
39283,Ghassan,Trumbly,Engineer,4/8/1992,8/5/2000
39286,Takahito,Gunderson,Engineer,12/7/1999,1/1/9999
39289,Behnaam,Caine,Senior Staff,4/12/1993,1/1/9999
39289,Behnaam,Caine,Staff,4/12/1988,4/12/1993
39290,Kwee,Mateescu,Engineer,1/25/1990,1/25/1997
39290,Kwee,Mateescu,Senior Engineer,1/25/1997,9/21/2001
39298,Nahum,DuCasse,Staff,7/3/1997,1/1/9999
39304,Aram,Plesums,Engineer,9/29/1986,9/29/1991
39304,Aram,Plesums,Senior Engineer,9/29/1991,1/1/9999
39316,Ulises,Gyorkos,Technique Leader,2/14/1989,1/1/9999
39320,Katsuo,Ossenbruggen,Technique Leader,5/8/1998,10/2/2000
